,A,AG,AL,AU,B,BB,BU,C,CF,CS,CU,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LR,M,MA,NI,OI,P,PB,PM,PP,RB,RI,RM,RS,RU,SF,SM,SN,SR,T,TA,TF,TT,V,WH,WR,Y,ZC,ZN,0
2010-03-10 00:00:00.005,258967468.0,0.0,964178760.0,2400997.7600000002,311470.0,0.0,0.0,33999328.0,2448540310.0,0.0,8665763000.0,0.0,0.0,80839262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536654670.0,0.0,655723075.0,0.0,0.0,221943584.0,1862398838.0,0.0,0.0,0.0,3862283100.0,24983175.0,0.0,0.0,19258144940.0,0.0,0.0,0.0,9840067591.0,0.0,1192699964.0,0.0,0.0,143615120.0,2873802.0,1583031.0,2035026354.0,0.0,6527133050.0,59620130889.76
2010-03-11 00:00:00.005,959748234.0,0.0,848385150.0,2759621.9200000004,345264.0,0.0,0.0,36791587.0,1992196430.0,0.0,13427925590.0,0.0,0.0,125501522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753238935.0,0.0,1310016789.0,0.0,0.0,268319244.0,2344465172.0,0.0,0.0,0.0,5441277685.0,39052845.0,0.0,0.0,22872574720.0,0.0,0.0,0.0,10361650943.0,0.0,1289766368.0,0.0,0.0,229549240.0,3117885.0,3654471.0,2765204052.0,0.0,7160876470.0,73236418217.92
2010-03-12 00:00:00.005,598857713.0,0.0,559283300.0,1846820.1000000003,62224.0,0.0,0.0,45773939.0,1629437845.0,0.0,10061188920.0,0.0,0.0,79902789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726148830.0,0.0,1114140511.0,0.0,0.0,180128982.0,1170444384.0,0.0,0.0,0.0,3704701766.0,26782285.0,0.0,0.0,23125135020.0,0.0,0.0,0.0,8949850486.0,0.0,1182829590.0,0.0,0.0,101623160.0,1680362.0,2637014.0,1642709054.0,0.0,5660861205.0,61566026199.1
2010-03-15 00:00:00.005,445731545.0,0.0,994076800.0,2274420.0299999993,152784.0,0.0,0.0,93721307.0,2248151475.0,0.0,12106866240.0,0.0,0.0,102781385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1776128685.0,0.0,882349507.0,0.0,0.0,252513558.0,1431520432.0,0.0,0.0,0.0,3645173312.0,21192167.0,0.0,0.0,16811888905.0,0.0,0.0,0.0,12329742847.0,0.0,1760545810.0,0.0,0.0,174754270.0,4760476.0,6440297.0,1616288936.0,0.0,6386030110.0,63093085268.03
2010-03-16 00:00:00.005,445968336.0,0.0,778333265.0,2216451.0600000005,58338.0,0.0,0.0,61008738.0,3142883445.0,0.0,12082282150.0,0.0,0.0,108763137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025158405.0,0.0,983011276.0,0.0,0.0,188608330.0,1032798626.0,0.0,0.0,0.0,8278292100.0,29722721.0,0.0,0.0,19770056840.0,0.0,0.0,0.0,9748201296.0,0.0,1949840656.0,0.0,0.0,116899085.0,8268367.0,11129388.0,1662612254.0,0.0,7590596160.0,70016709364.06
2010-03-17 00:00:00.005,394546894.0,0.0,812676315.0,2664046.11,392533.0,0.0,0.0,45999673.0,3115948300.0,0.0,11858261940.0,0.0,0.0,262227993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242775050.0,0.0,1159551030.0,0.0,0.0,162992250.0,1159062904.0,0.0,0.0,0.0,8755519342.0,29343433.0,0.0,0.0,18285219435.0,0.0,0.0,0.0,13832119270.0,0.0,1465817698.0,0.0,0.0,168435085.0,9302299.0,6824238.0,1379114608.0,0.0,5474632085.0,70623426421.11
2010-03-18 00:00:00.005,290090019.0,0.0,864465415.0,1865942.01,98579.0,0.0,0.0,35486095.0,2601648545.0,0.0,12646538310.0,0.0,0.0,141839431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157592595.0,0.0,971954453.0,0.0,0.0,134458236.0,1092015518.0,0.0,0.0,0.0,5347198750.0,24581781.0,0.0,0.0,25364972160.0,0.0,0.0,0.0,11451886357.0,0.0,1723549568.0,0.0,0.0,111516965.0,16935809.0,4074776.0,1671292200.0,0.0,7120483555.0,73774545059.01001
2010-03-19 00:00:00.005,532393473.0,0.0,1471898370.0,1748279.37,125731.0,0.0,0.0,59174540.0,3514829965.0,0.0,10972289410.0,0.0,0.0,98186323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810536070.0,0.0,1959627609.0,0.0,0.0,329646198.0,863842800.0,0.0,0.0,0.0,4299664851.0,28721768.0,0.0,0.0,22882195590.0,0.0,0.0,0.0,7602412130.0,0.0,1751886682.0,0.0,0.0,205217995.0,12708274.0,2963667.0,1146658476.0,0.0,5260724345.0,64807452546.369995
2010-03-22 00:00:00.005,429534029.0,0.0,715878800.0,2356911.33,39514.0,0.0,0.0,50923527.0,2653309500.0,0.0,8630584010.0,0.0,0.0,101016549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913282640.0,0.0,977392582.0,0.0,0.0,655224208.0,1147817156.0,0.0,0.0,0.0,5286921052.0,39656966.0,0.0,0.0,18897892595.0,0.0,0.0,0.0,6672992266.0,0.0,2008531878.0,0.0,0.0,147510630.0,5428935.0,8707704.0,1429442638.0,0.0,6028345865.0,57802789955.33
2010-03-23 00:00:00.005,424124395.0,0.0,830810390.0,2194076.2800000003,35737.0,0.0,0.0,53950369.0,2965095985.0,0.0,9935116260.0,0.0,0.0,70825935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919173515.0,0.0,904596878.0,0.0,0.0,1018392422.0,942561142.0,0.0,0.0,0.0,3869753658.0,219265186.0,0.0,0.0,19462097345.0,0.0,0.0,0.0,10037004588.0,0.0,1381690382.0,0.0,0.0,122283680.0,16784536.0,5096281.0,1376453098.0,0.0,5555244910.0,61112550768.28
